id,referencia,nombre,descripcion,id_tipo,cantidad,precio,descuento,iva,aplicarIva
53,ALW-32723,Wireless Charging Station,Charge multiple devices with this sleek charging station.,2,5,39.99,17,21,false
54,TTJ-52246,Compact Umbrella,Portable and lightweight umbrella for protection from rain.,1,25,12.99,19,11,false
55,HTE-43459,Roasted Garlic,Savory roasted garlic in a jar for easy use.,3,13,4.29,17,21,true
56,QYC-89978,Kettle Corn Popcorn,"Sweet and salty kettle corn, perfect for snacking.",4,5,2.99,21,7,false
57,XMT-83162,Self-Watering Planters,Planters with a self-watering feature for easy care.,1,22,49.99,22,7,false
58,ZRU-59076,Caramel Sauce,Rich sauce for desserts and ice cream.,6,20,3.49,14,7,false
59,VWH-71770,Infrared Thermometer,Non-contact thermometer for checking temperatures instantly.,6,15,39.99,19,21,true
60,WEE-65188,Outdoor Mosquito Repellent Lantern,Lantern that repels mosquitoes while providing light.,6,15,34.99,21,21,true
61,NRJ-02283,Breathable Face Mask Set,Comfortable and reusable face masks in different styles.,5,19,14.99,17,11,true
62,UIJ-77306,Desk Organizer Set,Stylish desk set to keep your workspace tidy and organized.,2,13,29.99,16,11,true
63,NJA-23453,Sweet Chili Sauce,"A sweet and spicy sauce, great for dipping or cooking.",3,24,2.99,20,11,false
64,HUR-22518,Pepperoni Pizza Roll-Ups,"Savory pizza filled with pepperoni and cheese, ready to microwave.",2,9,5.99,21,21,false
65,HMX-31924,Gardening Fairy Figurines,Cute fairy figurines to decorate your garden or potted plants.,5,10,14.99,17,21,true
66,FET-67729,Field Journal,Durable journal for nature observations and notes.,4,18,14.99,19,21,true
67,XUW-49111,Maple Chipotle Glaze,A sweet and spicy glaze that's perfect for grilling or marinades.,6,24,3.49,24,11,true
68,XUT-44786,Bamboo Utensil Set,Sustainable bamboo utensils for cooking and serving.,3,25,14.99,20,11,false
69,AUE-77615,Cheese Stuffed Jalapenos,"Spicy jalapenos stuffed with cheese, ideal for appetizers.",1,17,5.99,18,7,false
70,OQZ-35673,Quinoa,"Protein-rich quinoa, a great alternative to rice.",3,8,4.49,20,21,true
71,WXQ-02945,Mesh Sports Leggings,Breathable mesh sports leggings for ultimate comfort.,2,7,39.99,19,7,true
72,SSR-25563,Safety First Aid Kit,Comprehensive first aid kit for home or travel emergencies.,1,21,29.99,23,7,true
73,PWX-75659,Camping Chair,Portable folding camping chair with cup holder.,1,19,29.99,9,21,false
74,IYI-76897,Reclining Camping Chair,Foldable reclining camping chair with cup holder.,3,17,49.99,7,11,true
75,FRV-38708,Pumpkin Waffles,Delicious waffles infused with pumpkin and spices.,6,17,4.49,17,11,false
76,QAT-30093,Dog Walking Waist Pack,Hands-free waist pack for carrying essentials while walking your dog.,5,17,19.99,11,21,true
77,TKE-61264,Two-Tone Windbreaker,"Stylish two-tone windbreaker, perfect for active days.",6,19,59.99,21,11,false
78,PFW-96042,Mini Hand Gesture Drone,Toy drone that flies with gestures and is easy to control.,4,20,29.99,23,11,false
79,BVO-36845,Leek and Potato Soup,Savory soup made with leeks and potatoes.,2,14,3.29,13,11,true
80,JDV-46956,Adjustable Skipping Rope,Durable skipping rope with adjustable length for workouts.,6,11,12.99,20,11,false
81,RYT-07786,Luxury Bath Robe,Soft and plush robe for comfort after the shower.,6,2,49.99,19,11,true
82,KBX-96903,Coconut Oil Spray,A zero-calorie coconut oil spray for cooking and baking.,3,9,4.99,9,7,false
83,RSR-84277,Kids' STEM Robotics Kit,Educational robotics kit for building and programming.,5,7,59.99,11,7,false
84,VFS-96156,Mango Chili Salsa,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",4,12,4.29,11,7,false
85,VXD-83524,Yoga Mat Carrier,Convenient carrier for transporting yoga mat.,2,2,12.99,23,7,true
86,KDS-36676,Camping Tarp,Durable tarp for outdoor camping and protection.,6,17,32.99,15,11,false
87,ZNJ-53664,Vegetable Lentil Soup,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal.",5,9,3.49,8,7,true
88,AWO-98070,Honey Sesame Chicken,A delicious chicken dish featuring honey and sesame flavors.,2,18,8.99,20,11,true
89,CUW-60130,Electric Meat Grinder,Powerful grinder for making sausage and burgers at home.,3,22,89.99,20,7,true
90,XAB-36229,Yoga Blocks,Set of two yoga blocks for increased stability and support.,3,17,29.99,6,21,false
91,BFX-43135,Smart WiFi Plug,Control appliances remotely using your smartphone.,2,24,19.99,25,21,false
92,HFK-90666,Motorcycle Phone Mount,Universal mount for smartphones on motorcycles.,6,2,14.99,12,21,true
93,FSJ-95309,Garden Hose,Durable 50-foot garden hose with nozzle.,2,6,32.99,5,7,true
94,OXT-43970,Portable Speaker Stand,Adjustable stand for portable speakers and devices.,1,21,39.99,14,11,true
95,ABB-35574,Fitness Foam Roller,High-density foam roller for muscle recovery.,4,25,29.99,21,21,false
96,FQM-85285,LED Desk Light,Adjustable LED desk light with brightness settings.,4,18,34.99,19,11,false
97,VHZ-78692,Whole Wheat Pasta,Nutritious and hearty pasta made from whole wheat flour.,3,15,2.49,6,7,true
98,MKB-11530,Wireless Wi-Fi Extender,Boosts your Wi-Fi coverage for better connectivity.,4,11,49.99,18,11,true
99,CTO-45783,Coconut Milk Yogurt,Creamy yogurt made with coconut milk,1,11,2.99,12,21,true
100,MMG-89094,Biodegradable Dog Waste Bags,Eco-friendly bags for picking up after your pet.,2,20,14.99,15,7,true
101,ZMH-49705,Mango Chili Salsa,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken.",6,17,4.29,21,7,true
102,WIU-02752,Samoas Cookie Mix,Baking mix to create your favorite Samoa-style cookies at home.,1,4,5.59,17,21,true
103,UTT-11373,Outdoor Picnic Blanket,Water-resistant blanket for picnics and outdoor events.,1,18,34.99,24,7,true
104,VXQ-19463,Mini Electric Kettle,Quick boiling kettle for small kitchens and dorms.,1,13,29.99,19,11,false
105,NQS-16830,Whole Wheat Pasta,Nutritious and hearty pasta made from whole wheat flour.,6,9,2.49,12,21,false
106,DBM-55978,Pineapple Coconut Yogurt,Creamy yogurt blended with fresh pineapple and coconut pieces.,3,7,4.49,21,21,false
107,HIY-20388,Honey Mustard Dip,Sweet and tangy honey mustard dip for snacks.,1,6,3.29,19,11,false
108,YPH-49030,Almond Butter,Creamy almond butter made from roasted almonds.,3,7,6.49,13,11,true
109,GZB-50887,Natural Fruit Snacks,"Healthy fruit snacks, made with real fruit.",4,15,3.99,18,21,true
110,QYI-54505,Miso Soup Mix,"Instant miso soup mix, just add hot water for a warm meal.",4,24,3.29,5,21,false
111,FEH-48942,Indoor Grill,Electric indoor grill for quick meals.,2,25,59.99,24,7,false
112,TDI-92057,Wireless Keyboard and Mouse Combo,Compact wireless set for easy computer usability.,1,16,34.99,15,11,true
113,BNV-90630,Teriyaki Chicken Bowl,Ready-to-eat chicken bowl with teriyaki sauce and rice.,1,8,6.49,25,11,false
114,AIF-91723,Flavored Instant Oatmeal,Quick oatmeal with various flavors,1,9,2.99,8,7,false
115,JYF-15736,Decorative Throw Blanket,Soft throw blanket for cozy home decor.,3,5,39.99,13,7,false
116,VAR-81795,Vegan Protein Powder,Plant-based protein powder for post-workout recovery.,3,19,34.99,7,11,false
117,QEM-21574,Cocktail Shaker Set,"Bartender kit with shaker, jigger, and strainer.",1,15,29.99,21,7,true
118,TNK-58448,Coloring Books for Adults,Intricate designs for adults to relax and unwind.,4,3,14.99,6,11,false
119,RDL-45220,Compost Bin,Countertop compost bin for kitchen waste.,1,23,29.99,15,11,true
120,UXA-84511,Ski Goggles,Anti-fog ski goggles for winter sports.,6,11,49.99,7,21,false
121,MAI-62245,Foam Building Blocks for Kids,Soft foam blocks perfect for building and imaginative play.,2,10,22.99,16,7,true
122,XEG-13449,Tortilla Chips,"Crispy tortilla chips, perfect for dipping.",6,7,2.99,7,7,false
123,GRY-43896,Coconut Curry Chicken,"Tender chicken cooked in a rich coconut curry sauce, ready to heat and serve.",3,23,9.99,6,7,false
124,KQH-91733,Wireless Charger,Qi-certified wireless charger for fast charging.,4,21,24.99,20,21,false
125,CLB-93700,Wild Rice & Quinoa Mix,"Nutritious blend of wild rice and quinoa, perfect as a side dish.",4,25,2.99,11,11,false
126,BNB-16170,Trackpad for Laptop,Wireless trackpad for enhanced laptop navigation.,2,13,49.99,9,7,true
127,GOW-20741,Almond Flour Brownies,Deliciously rich brownies made with almond flour.,6,11,5.99,22,21,true
128,PUN-45075,Potting Soil,Premium potting soil for indoor plants.,5,11,15.99,18,11,false
129,EAG-48371,Casual Cropped Sweater,A trendy cropped sweater perfect for a casual look.,4,14,39.99,6,7,false
130,PXP-17964,Coconut Milk,Rich coconut milk for curries and desserts.,3,3,2.49,22,7,true
131,SAX-84760,Incense Holder,Ceramic incense holder for a calming atmosphere.,1,9,14.99,5,21,false
132,LTX-22983,Butternut Squash Ravioli,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce.",2,7,6.29,20,21,true
133,OLG-20929,Portable Refrigerator Freezer,Compact fridge ideal for camping and road trips.,1,7,299.99,6,11,true
134,VSD-52351,Heart-Shaped Baking Molds,Love-themed molds for creating desserts and treats.,4,22,10.99,11,21,true
135,DSO-31162,Luxury Yoga Mat,"High-density, non-slip yoga mat for stability and comfort.",4,15,39.99,11,11,false
136,STB-83277,Surimi Crab Sticks,"Synthetic crab meat sticks, great for salads and sushi.",5,20,4.19,13,21,false
137,HMM-28846,Salsa Verde,"Tangy green salsa made with tomatillos, perfect for tacos.",2,11,3.49,11,7,true
138,TIQ-48750,Chickpea Salad,A ready-to-eat salad made with chickpeas and veggies.,1,17,5.49,11,11,false
139,ELV-01608,Rechargeable Laptop Battery Pack,Portable battery pack to charge laptops while on the move.,3,25,49.99,20,21,false
140,OKA-62854,Hot Salsa,Spicy salsa made with fresh ingredients.,4,25,2.29,5,7,true
141,GOQ-72726,Chia Seeds,"Nutty flavored chia seeds, packed with nutrients.",1,9,6.99,6,7,false
142,CGW-65091,Dried Fruit Medley,A delightful mix of dried fruits for trail mix or snacks.,4,15,5.49,23,7,false
143,BYF-03894,Floral Summer Dress,Light and breezy dress perfect for summer outings with a vibrant floral pattern.,6,13,39.99,21,11,true
144,QKB-80846,Vegetable Stir-Fry Kit,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook.",6,8,6.99,11,21,true
145,PDX-88087,Luxury Bath Robe,Soft and plush robe for comfort after the shower.,5,6,49.99,20,11,true
146,XNU-82816,Creamy Garlic Dressing,"Rich and creamy dressing with garlic flavor, perfect for salads.",2,22,3.99,23,7,false
147,PIC-00488,Collapsible Folding Chair,Lightweight and portable chair for camping or events.,2,6,29.99,8,11,false
148,IQE-31313,Portable Charcoal Grill,Compact charcoal grill perfect for tailgating.,2,6,89.99,16,21,true
149,HCE-00647,Pepperoni Pizza Roll-Ups,"Savory pizza filled with pepperoni and cheese, ready to microwave.",1,5,5.99,8,21,false
150,WMZ-72201,Curried Lentil Salad,"A hearty salad with lentils, veggies, and curry dressing.",3,12,4.29,6,21,false
151,OCZ-89412,Sea Salt Caramel Brownie,Moist brownie topped with sea salt and caramel drizzle.,1,6,2.49,7,7,true
152,IAK-77348,Pumpkin Spice Pancake Mix,Pancake mix infused with seasonal pumpkin spice flavor.,2,2,3.49,6,21,true
153,LUU-04637,Handmade Leather Wallet,High-quality leather wallet with multiple compartments.,5,8,49.99,6,11,true
154,UCC-77437,Spinach and Feta Wraps,Whole wheat wraps filled with spinach and feta cheese.,6,21,4.99,17,11,false
155,NQD-59738,Fresh Lemons,Citrusy lemons perfect for drinks and cooking.,3,22,0.75,7,11,true
156,VSN-02679,Sweet Chili Sauce,"A sweet and spicy sauce, great for dipping or cooking.",6,18,2.99,22,7,true
157,YWT-19349,Fitness Mat,Thick and durable mat for workouts and yoga.,1,6,49.99,16,11,true
158,ZNT-62075,Desk Lamp with USB Port,Modern desk lamp that features a built-in USB charging port.,6,14,29.99,17,11,false
159,XBW-83202,Coconut Granola,Crunchy granola mixed with coconut flakes.,5,25,4.19,9,7,false
160,GLA-30085,Spicy Thai Noodles,Instant noodles with a spicy Thai sauce for quick meals.,4,17,1.99,21,21,true
161,JZX-85616,Samsung Galaxy Smartwatch,Stylish smartwatch with fitness tracking and notifications.,6,20,249.99,9,11,false
162,VZF-58147,Self-Massaging Pillow,Comfortable pillow with built-in massage features.,2,5,49.99,24,21,true
163,WVS-38403,Savory Breakfast Sausage,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",4,4,6.49,5,11,false
164,DDE-58177,Compact Pop-Up Tent,Easy setup tent perfect for camping and outdoor festivals.,3,25,69.99,9,21,true
165,FRG-08739,Peach Mango Smoothie Mix,A blend of peach and mango for a tropical smoothie.,3,7,5.99,11,21,true
166,CWP-88066,Vanilla Ice Cream,"Creamy and rich vanilla ice cream, a classic dessert.",3,5,4.99,8,7,false
167,PUN-19951,Spinach Feta Wraps,"Whole wheat wraps filled with spinach, feta, and herbs.",1,5,4.29,23,21,true
168,WET-58000,Cheesy Cauliflower Bake,"A frozen cheesy bake made with cauliflower, great as a side dish or a vegetarian meal.",1,5,5.49,21,21,false
169,LZX-71633,Cookbook,Inspiring cookbook with healthy recipes.,4,24,27.99,16,21,true
170,OVX-04425,Chocolate Mint Thins,Mint-flavored chocolate candies for a refreshing treat.,1,4,2.99,25,21,true
171,UCF-14706,Puzzle Mat,Foldable mat for jigsaw puzzle assembly.,1,16,22.99,20,21,true
172,ZPP-39389,Fitness Foam Roller,High-density foam roller for muscle recovery.,6,14,29.99,22,7,false
173,MAB-37019,Fleece Lined Leggings,Comfortable and warm leggings perfect for colder weather.,6,18,29.99,25,21,false
174,EDH-33920,Fresh Basil,"Aromatic fresh basil, perfect for Italian cooking.",1,3,1.99,23,11,true
175,WTW-73303,Instant Mashed Potatoes,Quick and easy side dish with buttery flavor.,5,3,1.79,10,7,false
176,KSX-68806,Dishwasher Safe Cutting Board,Eco-friendly cutting board that is safe for dishwashers.,1,13,22.99,16,21,false
177,JJS-05893,Magnetic Puzzle Board,Magnetic puzzle assembly board for kids.,1,22,24.99,17,7,true
178,SGD-64979,Cocktail Shaker and Mixing Glass Set,Complete set for mixing cocktails at home.,2,4,39.99,10,11,false
179,RVB-66123,Coffee Maker,Single-serve coffee maker with a built-in grinder.,1,10,89.99,9,21,true
180,RUJ-66796,Comfy Slippers,Soft and cozy slippers for indoor wear.,4,8,29.99,14,7,true
181,SIY-47287,Air Mattress,Inflatable air mattress for convenient sleeping.,6,20,49.99,7,21,true
182,QSH-86964,Stuffed Grape Leaves,"Grape leaves stuffed with rice and herbs, ready to eat.",6,17,5.79,14,21,false
183,OEV-30830,Wall-Mounted Organizer,Practical organizer for keeping your home tidy and clutter-free.,1,24,34.99,21,21,false
184,BPB-22703,Toy Building Set,Creative building set for kids to spark imagination.,3,13,29.99,12,7,false
185,PRN-19219,Ice Pack,Reusable gel ice pack for injuries and cooling.,6,19,8.99,10,7,true
186,HBA-53645,Pet Bed,Comfortable pet bed for small to medium-sized dogs.,1,11,39.99,6,7,true
187,FXO-28624,Strawberry Rhubarb Jam,"A sweet and tart jam, perfect on toast or in desserts.",2,8,4.29,7,11,false
188,KSM-56575,Vegetable Spiralizer,Create spiraled vegetable noodles easily for healthy meals.,5,11,19.99,5,21,false
189,USU-36777,Coconut Lime Rice,"Flavorful rice mixed with coconut and lime, a tropical side dish.",1,18,2.99,22,7,true
190,QMQ-27314,Fitness Tracker,"Track steps, heart rate, and sleep patterns.",2,25,49.99,13,11,true
191,XET-35731,Slim Wallet,RFID-blocking slim wallet for cards and cash.,2,23,24.99,22,7,true
192,NDB-33362,Digital Wireless Camera,Secure digital wireless security camera system.,4,20,199.99,14,7,true
193,XWT-60005,Oatmeal Raisin Cookies,Delicious cookies packed with oats and raisins.,6,19,3.49,6,11,false
194,HIQ-55911,Drone,Beginner-friendly drone with HD camera.,4,4,249.99,21,11,false
195,GUY-96729,Whipped Cream Cheese,"Light and fluffy cream cheese, perfect for bagels or cooking.",5,8,2.99,5,7,false
196,XRO-72946,Portable Solar Generator,Eco-friendly generator for outdoor adventures.,5,14,399.99,10,7,false
197,WVC-20178,Solar String Lights,Eco-friendly string lights for outdoor decor.,4,21,29.99,11,7,true
198,JVH-13296,Tailored Blazer,Sharp tailored blazer perfect for office wear and professional events.,2,18,99.99,25,21,false
199,WFW-89485,Self-Inflating Camping Mattress,Comfortable camping mattress that inflates automatically.,6,18,49.99,16,11,false
200,AST-16694,Puzzle,Challenging 1000-piece jigsaw puzzle for all ages.,3,12,27.99,18,21,false
201,ZQB-97991,Portable UV Sterilizer,Compact sterilizer for disinfecting small items.,6,11,19.99,25,7,true
202,CXC-15488,High-Waisted Skirt,"Chic high-waisted skirt, perfect for professional or casual settings.",3,12,34.99,18,7,false
203,ELH-74110,Garlic & Herb Goat Cheese,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers.",2,12,5.49,12,11,true
204,CWW-00587,Pet Bed,Comfortable pet bed for small to medium-sized dogs.,6,22,39.99,8,11,true
205,KDZ-34527,Protein Bar Variety Pack,A pack of assorted nut and protein bars for a quick energy boost.,3,24,12.99,16,11,true
206,DZD-33012,Teriyaki Salmon Fillets,"Frozen salmon fillets marinated in teriyaki sauce, ready to grill or bake.",5,17,9.99,8,7,true
207,LBI-13559,Peanut Butter Protein Balls,No-bake energy bites made with peanut butter and oats.,5,3,5.29,16,7,false
208,IYV-29760,Black Bean Spaghetti,"High-protein pasta made from black beans, gluten-free.",3,25,3.99,10,7,true
209,LDB-38220,DIY Lip Balm Kit,Craft your own lip balms with this complete kit.,1,18,22.99,25,11,true
210,CTQ-53467,Fridge Magnet Set,Fun fridge magnets to decorate your kitchen.,2,25,15.99,6,7,true
211,IYP-00071,Quinoa Salad,"A nutritious quinoa salad with veggies and dressing, ready-to-eat.",2,20,5.99,7,7,true
212,KMB-51092,Eco-Friendly Disposable Plates,Compostable plates suitable for various occasions.,3,9,22.99,10,21,false
213,INW-17734,Tailored Dress Pants,"Smart tailored dress pants, perfect for work or formal events.",2,12,79.99,6,7,true
214,GHK-11527,Organic Blueberries,Fresh organic blueberries perfect for snacking or baking.,4,22,5.49,11,7,true
215,QOE-99377,Lightweight Rain Jacket,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",6,3,79.99,15,11,false
216,AYC-49441,Radish Chips,"Crispy baked radish chips, a healthy snack alternative.",2,2,2.89,16,21,false
217,KME-11029,Coconut Milk Ice Cream,"Dairy-free ice cream made with coconut milk, creamy and delicious.",2,8,6.99,11,21,false
218,RDK-31933,Habanero Hot Sauce,Fiery hot sauce made with fresh habaneros and spices.,4,20,3.79,24,21,true
219,OAG-72895,Pomegranate Juice,"Fresh pomegranate juice, rich in antioxidants.",2,18,4.49,21,11,false
220,XCG-72265,Balsamic Fig Dressing,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",5,8,3.79,11,11,true
221,PZI-19385,Lemon Dill Salmon,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",2,3,9.99,11,7,false
222,AXE-05577,Rain Jacket,Waterproof rain jacket with adjustable hood.,3,18,64.99,25,7,true
223,JGH-81864,Sweet Corn Fritters,Golden-brown fritters made with sweet corn.,5,7,4.49,6,7,true
224,DOO-31316,Kid's Fruit Snacks,Assorted fruit-flavored gummy snacks that kids love.,1,8,2.49,21,21,true
225,OYX-13607,Kids' Gardening Kit,Complete set designed for children to learn gardening.,5,24,24.99,6,11,true
226,SBG-45202,Outdoor Camping Lantern,Rechargeable LED lantern ideal for camping and outdoor activities.,2,15,34.99,16,21,false
227,GZS-20791,Peanut Butter Granola,Crunchy granola full of peanut butter flavor and oats.,4,3,4.99,13,7,false
228,NOW-60840,Garden Tool Set,Complete set of gardening tools for all your needs.,3,6,34.99,14,21,false
229,DJP-65812,Multi-Purpose Plant Care Tool,"All-in-one tool for measuring soil moisture, light, and pH.",6,5,24.99,5,7,false
230,KJL-98204,Professional Chef Knife,High-carbon stainless steel chef knife for precision cutting.,1,14,89.99,16,7,true
231,TMT-41601,Dark Chocolate Covered Pretzels,Crunchy pretzels dipped in rich dark chocolate.,6,2,3.99,13,7,false
232,FSH-69639,Beef Stew Meat,Tender beef chunks for slow-cooked stews.,1,9,5.99,15,11,false
233,ITX-37445,Vintage Button-Down Shirt,A retro-style button-down shirt with a relaxed fit.,3,8,45.99,25,11,true
234,KYR-27192,Baked Potato Chips,"Light and crispy baked chips, a healthier snack option.",4,7,2.49,25,7,true
235,ZUL-36361,Peach & Mango Salsa,"A zesty salsa made with peaches and mangos, great for chips.",3,12,4.49,15,11,false
236,PHE-05339,Maple Breakfast Sausage,Savory sausage links with a hint of maple flavor.,2,12,5.99,11,21,false
237,DUB-27595,Vanilla Protein Powder,A high-quality protein powder perfect for smoothies and baking.,1,9,24.99,21,7,false
238,FVJ-47072,Ice Cube Tray with Lid,Silicone tray for making ice cubes with a lid to prevent spills.,6,4,10.99,9,7,true
239,QLR-70486,Travel Pillow with Memory Foam,Ergonomically designed neck pillow for comfortable travel.,4,4,29.99,22,7,true
240,HRD-23036,Essential Oil Roller Bottles,Set of roller bottles for blending and applying essential oils.,5,10,19.99,12,7,false
241,NMU-86590,Plaid Flannel Shirt,"Soft flannel shirt with a timeless plaid pattern, perfect for layering.",3,20,29.99,19,7,true
242,VFU-58370,Hiking Gaiters,Protective gaiters to keep dirt and debris out of shoes during hikes.,4,22,29.99,20,21,true
243,LTJ-18171,Bluetooth Tracker,Smart tracker to locate keys or other items via app.,3,8,19.99,18,21,false
244,NNB-21230,Fashionable Scarves Set,Stylish scarves to accessorize any outfit.,2,2,24.99,22,21,false
245,WWC-65654,Italian Breadsticks,Crispy breadsticks seasoned with herbs and garlic.,5,16,2.49,9,7,false
246,ZWP-82588,Instant Camera,Retro instant camera for capturing and printing photos instantly.,1,15,89.99,24,21,true
